,Team,Shots Conceded,Tackles,Interceptions,Season
0,Chelsea,9.8,20.3,18.6,2009-2010
1,Manchester United,10.9,21.8,15.8,2009-2010
2,Tottenham,13.7,22.2,21.2,2009-2010
3,Arsenal,10.1,21.5,22.1,2009-2010
4,Aston Villa,16,23.2,18.2,2009-2010
5,Manchester City,13.5,21.1,21.2,2009-2010
6,Liverpool,10.2,25.2,20.1,2009-2010
7,Everton,13.3,20.2,21.8,2009-2010
8,Birmingham,17.3,20.7,20.4,2009-2010
9,Sunderland,16.3,23.4,21.8,2009-2010
10,West Ham,15.9,21.8,19.9,2009-2010
11,Fulham,14.6,19.6,19.8,2009-2010
12,Bolton,16.2,24,19.3,2009-2010
13,Stoke,15.3,19.1,19.4,2009-2010
14,Wigan,14.3,23.9,19.6,2009-2010
15,Blackburn,13.4,18.7,19.2,2009-2010
16,Portsmouth,15.4,20.4,17.9,2009-2010
17,Wolverhampton Wanderers,15.5,18.6,14.1,2009-2010
18,Burnley,16.7,18.1,17.4,2009-2010
19,Hull,17.3,20,17.7,2009-2010
0,Manchester United,13.3,21.1,15.1,2011-2012
1,Manchester City,10.4,18.3,16.6,2011-2012
2,Tottenham,12.2,19.3,18.8,2011-2012
3,Arsenal,10.3,19.7,15.9,2011-2012
4,Chelsea,11.8,18.4,16.7,2011-2012
5,Fulham,15.4,17.6,16.9,2011-2012
6,Liverpool,11.1,19.1,13.3,2011-2012
7,Sunderland,16.2,21.7,17.2,2011-2012
8,Swansea,15.7,18.6,15.3,2011-2012
9,Newcastle United,14.3,19.6,16.3,2011-2012
10,Aston Villa,15.2,20.4,19.5,2011-2012
11,Everton,12.4,16.4,16.3,2011-2012
12,West Bromwich Albion,15.5,18,14.6,2011-2012
13,Queens Park Rangers,16.5,20.1,14.4,2011-2012
14,Bolton,17.3,19.2,18.6,2011-2012
15,Norwich,16.2,18.2,12.3,2011-2012
16,Wigan,14.7,19.2,15.2,2011-2012
17,Stoke,14.2,17.2,12.1,2011-2012
18,Blackburn,16.2,18.2,18.9,2011-2012
19,Wolverhampton Wanderers,17.6,16.2,15.7,2011-2012
0,Manchester United,12.8,19.2,13.5,2012-2013
1,Arsenal,10.6,19.7,16.7,2012-2013
2,Liverpool,11.4,20.9,13.8,2012-2013
3,Tottenham,9.7,19.6,19,2012-2013
4,Chelsea,12.2,18.7,13.2,2012-2013
5,Manchester City,10.4,17.9,12.9,2012-2013
6,Everton,11.9,18.9,15.5,2012-2013
7,Swansea,14.9,18,18.4,2012-2013
8,Fulham,16.8,17.9,19.6,2012-2013
9,Aston Villa,16.7,19.4,20.4,2012-2013
10,Southampton,11.8,21.6,20.5,2012-2013
11,West Ham,16.4,19.2,12.1,2012-2013
12,Sunderland,16.7,20.6,15.3,2012-2013
13,Queens Park Rangers,15.8,21.5,17.4,2012-2013
14,Newcastle United,13.4,19.2,12.5,2012-2013
15,Stoke,14.3,19.1,13.2,2012-2013
16,West Bromwich Albion,15.6,18.4,9.9,2012-2013
17,Wigan,14,18.7,18.5,2012-2013
18,Norwich,14.1,17.8,14.2,2012-2013
19,Reading,18.6,15.8,14.7,2012-2013
0,Liverpool,12.6,22.3,12.2,2013-2014
1,Manchester City,9.4,19.9,13.1,2013-2014
2,Chelsea,10.3,19.2,9.8,2013-2014
3,Arsenal,11.9,18.8,14.3,2013-2014
4,Everton,13,19.4,12.2,2013-2014
5,Manchester United,11.9,17.8,15.6,2013-2014
6,Southampton,9.6,21.2,13.9,2013-2014
7,Crystal Palace,13.9,22.3,18.3,2013-2014
8,Tottenham,11.2,19.8,14.7,2013-2014
9,Stoke,14.4,20.8,12.6,2013-2014
10,Newcastle United,12.8,19.3,15.7,2013-2014
11,Swansea,12.7,17.7,16.9,2013-2014
12,West Ham,17.9,17.1,10.6,2013-2014
13,West Bromwich Albion,13,18.4,15.7,2013-2014
14,Hull,14,19,16.1,2013-2014
15,Aston Villa,13,19.7,12,2013-2014
16,Sunderland,16.7,18.5,10.9,2013-2014
17,Fulham,17.7,18.5,13.1,2013-2014
18,Norwich,15.3,17.7,13.8,2013-2014
19,Cardiff,18.2,16.3,13,2013-2014
0,Arsenal,10.7,19.4,20.2,2014-2015
1,Manchester City,10.2,19.8,15,2014-2015
2,Chelsea,10.9,20,9.7,2014-2015
3,Manchester United,10.1,19.4,17.9,2014-2015
4,Southampton,10.1,21.4,16.5,2014-2015
5,Liverpool,10.9,21,11.6,2014-2015
6,Tottenham,12.9,21.4,17.8,2014-2015
7,Stoke,12,19.3,13.2,2014-2015
8,Swansea,14.6,16.7,18.2,2014-2015
9,West Ham,15.5,17,13.3,2014-2015
10,Leicester,14.7,20.8,19.6,2014-2015
11,Crystal Palace,13.8,20.8,15.8,2014-2015
12,Everton,13.2,17.4,11.7,2014-2015
13,Burnley,15.6,16.1,14.9,2014-2015
14,West Bromwich Albion,14.4,18.3,15.5,2014-2015
15,Queens Park Rangers,16.4,20.6,14.8,2014-2015
16,Hull,13.2,20.1,15.9,2014-2015
17,Sunderland,16.5,20,15.2,2014-2015
18,Newcastle United,11.7,21.7,16.9,2014-2015
19,Aston Villa,12.6,16.4,12.7,2014-2015
0,Arsenal,11.8,18.6,19.4,2015-2016
1,Leicester,13.6,22.9,21.6,2015-2016
2,Tottenham,11.1,21.1,17,2015-2016
3,Manchester City,8.9,19.2,16.6,2015-2016
4,West Ham,13.7,18.7,17.5,2015-2016
5,Southampton,12.2,18.8,18.6,2015-2016
6,Liverpool,10.5,22.9,14.5,2015-2016
7,Everton,14.6,19.2,13.4,2015-2016
8,Chelsea,12.7,20.8,13.6,2015-2016
9,Manchester United,10.8,20,15.6,2015-2016
10,Watford,13.2,20.9,20.2,2015-2016
11,Crystal Palace,14.9,17.1,18.4,2015-2016
12,Sunderland,15,20.2,14.9,2015-2016
13,Swansea,13.7,16.8,17.9,2015-2016
14,Stoke,14.1,18.7,15.2,2015-2016
15,Newcastle United,14.5,20.8,16.9,2015-2016
16,West Bromwich Albion,14.4,16.9,19,2015-2016
17,Bournemouth,11.6,18.6,16.8,2015-2016
18,Aston Villa,13.2,19.2,20.2,2015-2016
19,Norwich,12.9,16,12.4,2015-2016
